我校召开集中整治深入落实中央八项规定精神专项工作会议,根据学校党委常委会专题会议精神，6月28日，我校在行政楼609召开集中整治深入落实中央八项规定精神专项工作会议。纪委书记张绍红出席会议，全体中层干部参加会议。会上，张绍红传达了中共中央纪委办公厅《关于贯彻习近平总书记重要批示精神深入落实中央八项规定精神的工作意见》（中纪办发〔2019〕9号）、省纪委监委第四监督检查室《关于在集中整治专项工作中开展异地交叉互查的工作方案》及推进省属高校集中整治工作会议精神，并对学校开展集中整治深入落实中央八项规定精神专项工作进行了全面部署。张绍红指出，开展集中整治深入落实中央八项规定精神专项工作，是加强作风建设的重大部署，体现了党中央驰而不息纠“四风”的决心。他强调，一是要提高站位，站在讲政治的高度充分认识开展集中整治专项工作的重大意义，把思想和行动统一到中央、省委和校党委的部署上来；二是要突出重点，围绕主要任务，深入开展集中整治工作，全面进行自查自纠；三是要深入整改，完善落实中央八项规定的配套制度，把集中整治的过程作为持续加强纪律和作风建设的过程、作为推动上级重大部署贯彻落实的过程、作为持续加快高水平应用型财经大学建设的过程。<img alt="" src="/wwwfile/newsimg/20190628155700051.jpg" /> 集中整治深入落实中央八项规定精神专项工作会议现场
我校党委中心组召开专题学习会,
我校信息管理与工程系开展系级重点建设课程改革项目验收工作,6月26日，我校信息管理与工程系在行政楼603开展了系级重点建设课程改革项目验收工作。教育教学质量监控中心主任梅丽，教务处副处长张红霞，信息技术中心副主任曹莹，以及信息管理与工程系副主任张宇敬、何志强担任此次验收工作的评委。我校信息管理与工程系积极参与学校课程建设质量工程项目，进行了系级案例示范课程、系级重点课程、系级在线开放课程建设。该系以项目化形式，共立项6门系级重点建设课程，分别为《计算机组成原理》《互联网思维与商业模式创新》《数据挖掘原理与应用》《计算方法与实现》《计算机网络》《企业级项目开发实验》，课程涵盖专业基础必修课、专业必修课、专业选修课等不同类型。经过三个学期的建设，立项课程于2018年9月全部通过中期验收。此次结项验收分为结项材料提交、成果展示与答辩、专家评议三个阶段。会上，6门立项课程负责人齐晓娜、刘冲、安英博、聂燕敏、裘咏霄、王蕾分别对课程定位、课程建设思路、课程整体教学设计、课程某一单元设计、课程考核评价方式等内容进行了系统陈述。评委本着公平公正的原则，在认真听取各课程负责人现场汇报和答辩的基础上，对6门课程进行了评议和投票。评委对课程建设成果给予充分肯定，一致认为6个项目对课程的定位分析准确，对教学内容进行了整合和重构，教学方法和教学手段的改革贯彻了“以学为中心”的理念，能够激发学生的学习主动性；教学资源丰富多彩，教学方式采用线上线下（O2O）混合模式，符合当前教学改革的趋势和热潮。最后，评委分别从课程如何建、学生如何学、教师如何教及效果如何评4个方面对深化课程改革提出期望和要求。<img alt="" src="/wwwfile/newsimg/20190627175400000.png" />信息管理与工程系重点建设课程改革项目验收工作现场
我校研究生部举行2018级研究生专业实践出征仪式,6月26日，为使学生明确专业实践的意义，引导学生做好专业实践工作，我校研究生部在国际金融交流中心205举行2018级研究生专业实践出征仪式。副校长秦菊香，研究生部主任李艳红、党总支书记周素彦、导师代表田晓丽以及2018级全体研究生参加此次出征仪式。首先，秦菊香对此次出征仪式作动员讲话。她介绍了金融硕士的培养目标，即培养出具有扎实金融理论知识以及良好职业道德的金融从业人员，强调了金融从业人员需要具备的创新意识、市场意识、服务意识和国际意识，并对我校研究生提出了“看、听、思、悟”的实践要求。随后，周素彦对专业实践的意义、专业实践中的安全与纪律问题作了重点阐释。他指出，专业实践是研究生培养的重要组成部分，也是研究生学位论文的必要基础，更是未来工作的必要准备。之后，田晓丽代表导师发言。她强调了实习过程中应注意的事项，并希望我校研究生认真对待实习，严格要求自己，在亲身参与中提升实践能力。最后，2018级研究生邢佳琳代表全体同学对学校领导、老师的关心表示衷心的感谢，并表达了脚踏实地、认真努力完成实习任务的决心。开展专业实习有利于我校研究生了解社会、认识国情，增长才干、增强社会责任感。此次出征仪式，使我校研究生进一步了解了专业实践的意义，明确了实习过程中应遵守的纪律及注意事项。
我校体育教学部教师参加“2019清华体育高层论坛”,6月22日，“2019清华体育高层论坛”在北京举行。我校体育教学部教师刘萍应邀参加并作专题报告。来自全国上百所高校的师生代表300余人参加论坛，共同回顾和探讨新中国成立70周年以来学校体育实践和文化建设情况。此次论坛共收集稿件400余篇，经国内著名专家学者评审，遴选出专题报告149篇、墙报交流141篇。论坛上，我校体育教学部教师刘萍作《我国体育产业供给侧结构改革的问题、路径与对策——把握冬奥会契机，推动我国体育消费升级》专题报告。她指出，加强政府部门的扶持，构建体育产业市场化发展新机制；合理规划体育产业结构，尤其是体育消费产业发展方向与阶段性目标；强化市场主体的经营能力，提升市场主体的核心竞争能力；优化体育产业专业技术人才，经营管理人才供给；把握冬奥契机，打造我国特色鲜明的体育产业品牌。此次论坛由清华大学体育发展研究院、清华大学体育部和中国体育科学学会学校体育分会、体育史分会、国际交往工作委员会、体育社会科学分会主办。此次论坛有利于促进我校与全国各高校体育学者之间的研究成果分享、研究思路互启、研究项目合作，助力我校体育科研水平进一步提升。<img alt="" src="/wwwfile/newsimg/20190627174300003.png" /> 我校体育教学部教师刘萍参加“2019清华体育高层论坛”
我校党委副书记姚维刚深入党委宣传部开展调研,6月25日，我校党委副书记姚维刚深入党委宣传部，对学校宣传思想文化工作进行调研。党委宣传部部长张玉敏、副部长刘涛及部门全体教师参加座谈会。会上，部门全体教师结合各自分管工作，对政治理论学习、校园文化建设、加强内外宣传等内容进行了详细介绍，并运用具体实例，对工作中遇到的困难和应对措施进行了说明。随后，张玉敏从健全制度、打好基础，踏实工作、守正创新，团结合作、建好队伍三方面对部门工作开展情况和未来工作思路作了详细汇报。她指出，近年来，党委宣传部把制度建设作为基础性、根本性工作，先后出台二十余项制度，有利促进了宣传思想文化工作制度化建设；坚持虚功实做，围绕育人的广度、深度和效度，以守正促创新、以创新强守正，不断实现新发展和新突破；加强队伍建设，以契合新时代的精神状态，争做有情怀、有担当、有作为的新时代金院追梦人，让学校宣传思想工作更好地强信心、暖人心、筑同心，努力为学校事业发展提供思想保证、精神动力和舆论支持。姚维刚对党委宣传部各项工作给予充分肯定，表示党委宣传部工作做得实、做得新，出实招、出精品、显成效。之后，他对党委宣传部提出希望和要求：一是要加强自身政治理论学习，利用好学习强国等平台，做到先学一步、学深一步、多学一点；二是建立一支政治坚定、素质过硬的宣传思想工作队伍，部门教师要善于思考、勤于总结，注重提高工作能力和综合素质；三是要在加强内部建设基础上，进一步强化与学校其他部门、与社会单位、与新闻媒体和社会公众的沟通协调；四是要紧紧围绕经济社会发展形势、上级要求和学校实际，主动谋划、主动作为，自觉承担起举旗帜、聚民心、育新人、兴文化、展形象的使命任务。他强调，党委宣传部要始终坚持把围绕中心、服务大局作为基本职责，胸怀大局、把握大势、着眼大事，找准工作切入点和着力点，做到因势而谋、应势而动、顺势而为；要始终把握“聚焦聚力立德树人，凝心聚力内涵发展，入脑入心讲好故事”的原则，在重点突破中整体推进学校宣传思想文化工作。会前，姚维刚带领党委宣传部全体党员参观了保定市中国共产党员日记博物馆，让党员们深刻感悟到党的光辉历程，更深入了解了共产党员不忘初心、砥砺前行的革命意志，全体党员接受了一次深刻的精神洗礼和爱国主义教育。<img alt="" src="/wwwfile/newsimg/20190627153200036.jpg" /> 参观保定市中国共产党员日记博物馆
天津银行石家庄分行行长韩文金一行来我校调研交流,6月25日，天津银行石家庄分行行长兼党委书记韩文金一行来我校调研，并进行座谈交流。天津银行石家庄分行纪委书记罗英、行长助理李淑芸，天津银行保定分行行长兼党委书记焦风川以及天津银行石家庄分行公司业务部、金融市场部、国际业务部等部门负责人出席座谈会。我校党委书记杨兆廷、副校长秦菊香，办公室、教务处、科研处、学生处、研究生部等部门负责人参加座谈。首先，杨兆廷对韩文金一行的到来表示欢迎，对天津银行石家庄分行近年来取得的成绩表示赞赏并介绍了学校的基本情况、办学特色和发展思路。他指出，河北金融学院始终围绕立德树人根本任务，促进学生全面成才；始终坚持植根行业发展，不断深化产教融合；始终紧跟产业变革步伐，推动金融科技创新发展。他表示，天津银行石家庄分行坚持以党建为统领，立足实体经济，努力争创京津冀主流银行良好形象，取得了可喜的成绩。希望双方借此机会，增进了解，加深友谊，拓展合作深度，延展交流广度，推动银校合作再上新台阶。随后，韩文金高度评价了我校近年来取得的成就，介绍了天津银行石家庄分行的发展现状。他希望双方进一步加强在金融科技、大数据、人工智能等领域的交流合作，推动银校双方实现共赢发展。最后，杨兆廷代表学校为韩文金颁发河北金融学院金融硕士专业学位研究生导师聘书。此次调研交流活动，加深了双方友谊，搭建了交流平台，为银校双方深化合作奠定了坚实基础。<img alt="" src="/wwwfile/newsimg/20190626181700033.jpg" /> 座谈会现场<img alt="" src="/wwwfile/newsimg/20190626181700054.jpg" /> 党委书记杨兆廷讲话<img alt="" src="/wwwfile/newsimg/20190626181800016.jpg" /> 天津银行石家庄分行行长兼党委书记韩文金讲话<img alt="" src="/wwwfile/newsimg/20190626181900041.jpg" /> 颁发聘书现场
我校举办“互联网+”大学生创新创业大赛决赛,6月22日，我校在第一报告厅举办“互联网+”大学生创新创业大赛校级总决赛。教务处处长郑艳娟、副处长崔铭，各系（院）部副主任、指导教师及500名观众参加大赛。大赛由教务处副处长崔铭主持。比赛邀请灵动天合科技有限公司董事长李光栋、照澜联合科技有限公司总裁邢艳凯、新道科技股份有限公司区域总监田高峰、河北融东企业管理咨询有限公司总经理王琨、我校管理系教授赵永新等5位专家担任校级总决赛的评委。比赛中，参赛团队通过PPT陈述、视频展示、回答评委质询等方式进行项目路演，全方位展示创业项目优势和亮点，充分展现了我校学子扎实的专业功底、广阔的前瞻视野和优秀的创新创业精神。经过4个多小时的激烈角逐，最终“万啄科技大数据赋能餐饮”等10支团队荣获校级一等奖，11支队伍荣获校级二等奖，另有47支团队获得校级三等奖。此次大赛由我校教务处主办，自今年3月份启动以来，学校领导高度重视、各系（院）部精心组织、广大师生积极响应，共有604支团队报名参赛，68支团队进入校赛，21支团队进入校级总决赛，参与学生达3000余人。大赛项目覆盖了“互联网+”制造业、信息技术服务、文化创意、商务服务、公共服务、传媒等多个领域，呈现出参与师生人数增加、创业领域扩大、科技含量明显提高等特点，是我校创新创业教育工作成果的具体体现。下一阶段，学校将继续对优秀项目进行打磨，争创省赛佳绩。<img alt="" src="/wwwfile/newsimg/20190626180100039.jpg" /> 颁奖现场<img alt="" src="/wwwfile/newsimg/20190626180100053.jpg" /> 合影留念
我校副校长朱连才一行参加河北省高等学校思想政治理论课教学指导委员会成立大会,6月21日，河北省高校思想政治理论课教学指导委员会成立大会在河北师范大学顺利召开。高校思政课教学指导委员委员、各高校主管校领导、马克思主义学院院长和思政课骨干教师共计400余人参加大会。省教育厅副厅长王廷山出席会议并讲话，省教育厅思政体卫艺处处长杨立华主持会议。我校副校长朱连才一行参加大会。会上，河北师范大学党委书记、教学指导委员会主任委员戴建兵作表态发言，河北工业大学、河北师范大学、河北科技大学、河北金融学院、秦皇岛职业技术学院等5所大学作了交流发言。我校马克思主义学院院长王宁介绍了学校与中共保定市委宣传部、市委党校、市高校办四方共建马克思主义学院的探索与尝试，总结了四方共建模式下，我校一年来在思想政治理论课教学改革探索方面所取得的经验和成效。河北省高校思想政治理论课教学指导委员会是在省委教育工委、省教育厅领导下，对加强和改进高等学校思想政治理论课教学工作进行研究、咨询、评价、指导和服务的专家组织。本届教学指导委员会设主任委员1名，副主任委员3名，委员11名，并将根据高校思想政治理论课课程设置情况及分类指导原则，逐步建立分教学指导委员会。（文字/马克思主义学院王中良 审核/宣传部刘涛）
我校金融系、保险系党总支联合开展“不忘初心 牢记使命”主题党日活动,6月22日，为庆祝建党98周年，进一步提升广大党员的责任担当意识，我校金融系、保险系党总支赴中国人民抗日战争纪念馆开展“不忘初心 牢记使命”主题党日活动。金融系党总支书记田晓丽、主任鲍静海，保险系主任王香兰以及两系教工党员40余人参加活动。首先，田晓丽深刻阐述了此次主题党日活动的重要意义。随后，王香兰代表全体教工党员发言，她带领全体党员深切缅怀了一代代革命先辈浴血奋战、艰苦奋斗的光荣历史和高尚情怀，表达了身为一名共产党员的骄傲与自豪，并详细阐述了新时代高校教师党员所肩负的历史使命和责任，号召全体与会党员不忘初心，牢记使命，砥砺奋进，携手前行，为实现中华民族伟大复兴的中国梦而努力奋斗。之后，田晓丽带领全体党员重温了入党誓词并庄严宣誓。宣誓结束后，在纪念馆讲解员的带领下，全体党员认真参观了纪念馆的展品，重温了中华儿女在中国共产党的带领下救亡图强，英勇抗击日本帝国主义侵略者的光辉奋斗历程。全体党员被革命先辈们心怀祖国、不怕牺牲的高尚情怀深深感动。此次主题教育活动有利于广大教师党员进一步明确自身肩负的使命和责任，提升思想觉悟。大家纷纷表示，要在新时代、新形势下奋发有为、开拓进取，为推动学校事业发展发挥先锋模范作用。<img alt="" src="/wwwfile/newsimg/20190625190400051.jpg" />主题党日活动合影
